seller_id,seller_city,seller_state,total_revenue,order_count,num_categories,avg_delivery_days,avg_review_score,late_shipping_percentage,cancellation_percentage,repeat_customer_percentage,recency_days,has_review,total_revenue_outlier_type,total_revenue_outlier_flag,order_count_outlier_type,order_count_outlier_flag,avg_delivery_days_outlier_type,avg_delivery_days_outlier_flag,avg_review_score_outlier_type,avg_review_score_outlier_flag,late_shipping_percentage_outlier_type,late_shipping_percentage_outlier_flag,recency_days_outlier_type,recency_days_outlier_flag
c6381b1321d7d97717a5bb4ed5b77882,Sao Paulo,SP,100.01,2,3,4,3.67,0.0,0.0,0.0,69,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c6381d2d013342748761e906d45aff76,Portao,RS,2614.26,15,7,16,3.0,0.0,0.0,0.0,84,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c64a2aec32cc408a8a4c6d7c46017f91,Imbe,RS,3628.17,9,2,21,3.89,0.0,0.0,0.0,245,1,normal,False,normal,False,context,True,normal,False,normal,False,normal,False
c66dccfb3f109511246da627dd5a2498,Registro,SP,13127.29,44,43,11,4.52,4.55,0.0,0.0,54,1,global,True,normal,False,normal,False,normal,False,normal,False,normal,False
c679fb69a36e1d8349e8c50a217b4d58,Caxias do Sul,RS,2213.89,14,13,10,4.42,17.65,0.0,0.0,58,1,normal,False,normal,False,normal,False,normal,False,context,True,normal,False
c68fb906c8f4b4b946d8386bfa6e5467,Jaboticabal,SP,5433.61,45,36,11,4.51,2.08,0.0,0.0,79,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c6a7539d424a8402232c2228d7a03c5e,Sao Paulo,SP,1001.32,10,1,13,2.6,6.67,0.0,0.0,148,1,normal,False,normal,False,normal,False,global,True,normal,False,normal,False
c6bda72e4dbf5c5866b13cb1810c6d03,Sao Paulo,SP,15196.12,59,27,10,4.53,3.39,0.0,0.0,55,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
c70a353f02429c00775a46a75fb787da,Sao Paulo,SP,336.94,6,4,6,4.67,0.0,0.0,0.0,68,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c70c1b0d8ca86052f45a432a38b73958,Hortolandia,SP,40190.56,260,65,7,4.31,8.04,0.0,0.0,49,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
c714262700f93defc16bf17a51a4cb23,Sao Paulo,SP,491.33,4,4,10,4.67,0.0,0.0,0.0,155,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c716e0b86ed568878475b60fbb6323ad,Rio de Janeiro,SP,50.23,1,1,8,5.0,0.0,0.0,0.0,205,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c7246702dc991a06d788120dc7544391,Fortaleza,CE,72.52,1,1,21,5.0,0.0,0.0,0.0,240,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c72de06d72748d1a0dfb2125be43ba63,Guanambi,BA,18733.18,21,8,9,4.45,0.0,0.0,0.0,60,1,global,True,normal,False,normal,False,normal,False,normal,False,normal,False
c731d18cea9bf687ffee82a241c25b11,Concordia,SC,4272.65,24,18,7,4.52,0.0,0.0,0.0,51,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c747d5b92c7648417faea95d36d763e8,Pacatuba,CE,224.75,1,1,13,5.0,0.0,0.0,0.0,327,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c74f14c1e26cf1bd5bd34b6a1e274426,Sao Miguel do Oeste,SC,55.79,1,1,25,5.0,0.0,0.0,0.0,263,1,normal,False,normal,False,global,True,normal,False,normal,False,normal,False
c76d418370990614e89e956c7a7567d9,Taboao da Serra,SP,369.77,2,1,10,3.5,0.0,0.0,0.0,400,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c79151301b9d90985d1fa52879213105,Maringa,PR,383.44,3,2,8,4.38,0.0,0.0,0.0,317,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c794dab4928dd97beb41d05514441e86,Artur Nogueira,SP,1544.59,16,9,13,4.38,12.5,0.0,0.0,115,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c7a0a13cbcf29d5ce51c8f80afdc0b89,Laurentino,SC,657.8,8,4,10,4.22,0.0,0.0,0.0,70,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c7b7db6c8f3c64a7cc1afa634db21d50,Sao Paulo,SP,1511.86,1,1,33,1.0,100.0,0.0,0.0,220,1,normal,False,normal,False,global,True,global,True,global,True,normal,False
c7bb64409aa480bb7d0335faaaf3d242,Joinville,SC,165.16,4,2,5,2.25,0.0,0.0,0.0,107,1,normal,False,normal,False,normal,False,global,True,normal,False,normal,False
c7c7b2682c648339a0e9846bb1023a39,Braganca Paulista,SP,199.68,2,2,8,4.67,0.0,0.0,0.0,308,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c7dcd301ecfe5ab7f778ac172cf74be7,Belo Horizonte,MG,458.19,3,3,25,2.5,0.0,0.0,0.0,743,1,normal,False,normal,False,global,True,global,True,normal,False,global,True
c7fdb77fdbff3c41981bc52f787e959e,Santo Andre,SP,825.16,9,8,17,3.55,18.18,0.0,0.0,88,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c8025364abeecb115431bf95c11a747f,Porto Alegre,RS,971.28,2,2,8,4.5,50.0,0.0,0.0,69,1,normal,False,normal,False,normal,False,normal,False,global,True,normal,False
c8143b3069f6746a77421b5ce30a450c,Abadia de Goias,GO,185.88,1,1,24,5.0,0.0,0.0,0.0,472,1,normal,False,normal,False,global,True,normal,False,normal,False,context,True
c826c40d7b19f62a09e2d7c5e7295ee2,Guarulhos,SP,50096.67,346,17,13,4.05,9.04,0.0,0.0,51,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
c840d3fdbba0790404fdae73d253b253,Curitiba,PR,4881.93,9,7,11,3.93,0.0,0.0,0.0,110,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c8417879a15366a17c30af34c798c332,Sao Paulo,SP,2192.85,25,15,9,4.03,8.57,0.0,0.0,384,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c84592044b180dec206770c38603814b,Sao Paulo,SP,700.97,14,5,12,4.2,0.0,0.0,0.0,158,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c8467937e403e76a8ee9f0ab13f6f5ef,Pocos de Caldas,MG,2442.74,30,6,16,4.13,12.12,0.0,0.0,65,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c847e075301870dd144a116762eaff9a,Uberaba,MG,16341.48,41,5,16,4.17,9.52,0.0,0.0,280,1,global,True,normal,False,normal,False,normal,False,normal,False,normal,False
c864036feaab8c1659f65ea4faebe1da,Campo Largo,PR,12299.77,58,29,12,4.57,3.45,0.0,0.0,69,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
c8660dcf9ba70575f45d80fe28c27713,Sao Paulo,SP,438.99,4,2,11,4.71,14.29,0.0,0.0,576,1,normal,False,normal,False,normal,False,normal,False,normal,False,global,True
c8665a4dd081a2c436b1cd921079d0d9,Pitangueiras,SP,93.53,1,1,4,5.0,0.0,0.0,0.0,121,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c8771b1a10bb99bb34d3c459c5cffb53,Tocantins,SP,96.1,1,1,7,5.0,0.0,0.0,0.0,505,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c878515173c84a492ebe50d6b493230b,Itaipulandia,PR,1308.04,9,6,16,4.2,20.0,0.0,0.0,336,1,normal,False,normal,False,normal,False,normal,False,context,True,normal,False
c87abc38c8ed3240861729e1aeadf221,Sao Paulo,SP,148.68,1,1,10,1.0,0.0,0.0,0.0,295,1,normal,False,normal,False,normal,False,global,True,normal,False,normal,False
c89cf7c468a48af70aada384e722f9e2,Petropolis,RJ,971.01,14,7,14,4.0,7.14,0.0,0.0,72,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c8b0e2b0a7095e5d8219575d5e7e1181,Itaquaquecetuba,SP,13657.34,84,58,9,4.07,7.06,0.0,0.0,61,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
c8b3445d737de6befde0c88ede534a5e,Sao Paulo,SP,3800.79,30,7,11,3.97,2.78,0.0,0.0,112,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c8c1bea22194a4eefa2dc9a9fa89f536,Porto Belo,SC,1558.73,7,3,8,5.0,0.0,0.0,0.0,75,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c8cc60ffd415254af5d9b9f34f32c369,Sorocaba,SP,916.23,8,7,4,4.67,0.0,0.0,0.0,63,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c8e135e7b21ecbc36c1153a29d2f5a06,Sao Paulo,SP,1267.48,7,5,8,4.86,0.0,0.0,0.0,507,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c963a25b8671419c6ce9eebe8fd03218,Angra dos Reis,RJ,68.32,1,1,6,5.0,0.0,0.0,0.0,169,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c990d6cf976a5718aaedc539f383ab88,Paulinia,SP,298.45,8,4,21,3.18,44.44,0.0,0.0,270,1,normal,False,normal,False,normal,False,normal,False,global,True,normal,False
c9a06ece156bb057372c68718ec8909b,Brasilia,DF,4281.96,11,2,11,3.0,0.0,0.0,0.0,640,1,normal,False,normal,False,normal,False,normal,False,normal,False,global,True
c9aafcd0621b2207c10e32c649cada4d,Sao Paulo,SP,3488.55,40,29,9,4.08,8.51,0.0,0.0,68,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
c9c7905cffc4ef9ff9f113554423e671,Itapecerica da Serra,SP,12766.71,127,22,10,4.17,11.51,0.0,0.0,57,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
c9d2ba8dde44a275ae06475ed1d2fafc,Uberlandia,MG,43.31,1,1,8,5.0,0.0,0.0,0.0,618,1,normal,False,normal,False,normal,False,normal,False,normal,False,global,True
c9e5ad1f6647f5dbd1172adf6ae3cada,Porto Alegre,RS,319.98,4,3,9,4.75,0.0,0.0,0.0,130,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
ca3bd7cd9f149df75950150d010fe4a2,Sao Paulo,SP,12572.36,68,51,13,3.73,2.22,0.0,0.0,72,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
ca4b77513ac2040591b0d8fae6958380,Santo Andre,SP,1973.62,14,12,7,4.47,20.0,0.0,0.0,56,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
ca5832c6960267b71041f74bb39e8b12,Xanxere,SC,97.71,1,1,45,1.0,100.0,0.0,0.0,485,1,normal,False,normal,False,global,True,global,True,global,True,normal,False
ca77545ca4d2dfd1431bf61334e2fa3c,Maringa,PR,973.71,6,2,12,4.8,0.0,0.0,0.0,176,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
ca7c6bd577e559472af1c699de9e764e,Sao Bernardo do Campo,SP,218.82,6,1,4,4.0,0.0,0.0,0.0,196,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
caa9bc43a9fe8cf9c564ddd8a03cc4a6,Jacarei,SP,1037.74,13,5,9,4.69,7.14,0.0,0.0,51,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
cab85505710c7cb9b720bceb52b01cee,Sao Paulo,SP,13951.99,201,28,10,4.3,2.45,0.0,0.0,50,1,global,True,global,True,normal,False,normal,False,normal,False,normal,False
cac4c8e7b1ca6252d8f20b2fc1a2e4af,Indaiatuba,SP,5658.7,74,33,19,3.61,23.17,0.0,0.0,62,1,normal,False,global,True,normal,False,normal,False,normal,False,normal,False
cac4e0bc1a3269fa2b6ea5e763f6115b,Brusque,SC,108.02,2,2,11,5.0,0.0,0.0,0.0,204,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
cac63f48c38cd7d002a7e846dcd99a23,Sumare,SP,1014.62,10,7,7,4.82,0.0,0.0,0.0,60,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
cac876b37d3abcd6bd76caca30277996,Cascavel,PR,2958.79,27,14,11,4.61,15.15,0.0,0.0,83,1,normal,False,normal,False,normal,False,normal,False,context,True,normal,False
cad10cc982ab6a391570c211b995c17c,Avare,SP,60.19,1,1,4,5.0,0.0,0.0,0.0,178,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
cad9969167c09b48ae6f1d123f7fa68d,Pocos de Caldas,MG,37.51,1,1,3,3.0,0.0,0.0,0.0,85,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
cb0b3bcf14e0a709df412a99424a59d7,Sao Paulo,SP,507.43,2,2,22,4.5,0.0,0.0,0.0,184,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
cb162c8eef257253782d245c08d9097c,Barueri,SP,49.12,1,1,11,5.0,0.0,0.0,0.0,332,1,normal,False,normal,False,normal,False,normal,False,normal,False,normal,False
